,Title,Genre,Time,Age,Actor,Area,Place,Period,Tag
0,뮤지컬 〈프랑켄슈타인〉,뮤지컬,175분(인터미션:20분),중학생이상 관람가,"민우혁, 전동석, 규현, 박은태, 카이, 정택운, 해나, 이봄소리, 서지영, 김지우, 이희정, 서현철, 김대종, 이정수, 백시호, 조해인",서울,블루스퀘어 신한카드홀,2021.11.24 ~ 2022.02.20,판매중단독판매TOPING 할인
1,뮤지컬 〈레베카〉,뮤지컬,170분(인터미션:20분),8세이상 관람가능,"민영기, 김준현, 에녹, 이장우, 신영숙, 옥주현, 임혜영, 박지연, 이지혜, 최민철, 이창용, 김지선, 한유란, 류수화, 김경선, 문성혁, 변희상, 임정모, [백신패스], [일반]",서울,충무아트센터 대극장,2021.11.16 ~ 2022.02.27,판매중
2,뮤지컬 라이온 킹 인터내셔널 투어 - 서울 (Musical The Lion King),뮤지컬,150분(인터미션:15분),8세이상 관람가능,,서울,예술의전당 오페라극장,2022.01.09 ~ 2022.03.18,판매중좌석우위
3,뮤지컬 `노트르담 드 파리` 프렌치 오리지널,뮤지컬,150분(인터미션:20분),8세이상 관람가능,,서울,세종문화회관 대극장,2021.11.17 ~ 2021.12.05,판매중단독판매
4,뮤지컬 캐치！티니핑 〈프린세스 다이어리〉－서울,뮤지컬,70분,24개월이상 관람가능,,서울,이화여자대학교 삼성홀,2021.12.24 ~ 2022.01.23,판매중단독판매
5,뮤지컬 〈젠틀맨스 가이드 : 사랑과 살인편〉,뮤지컬,150분(인터미션:15분),중학생이상 관람가,"유연석, 이석훈, 고은성, 이상이, 오만석, 정성화, 정문성, 이규형, 이정화, 유리아, 김아선, 김현진",서울,광림아트센터 BBCH홀,2021.11.13 ~ 2022.02.20,판매중좌석우위TOPING 할인
6,뮤지컬 〈장수탕 선녀님〉 - 서울숲,뮤지컬,60분,12개월이상 관람가능,"안진영, 한소희, 최승환, 김예나, 백지예, 박현선, 유선봉, 최민욱, 권서하, 황오정, 장연경, 박선주",서울,서울숲 씨어터 2관,2021.09.16 ~ 2022.02.27,판매중단독판매TOPING회원할인 50%
7,뮤지컬 〈디아길레프〉,뮤지컬,100분,14세 이상 관람가,"김종구, 박민성, 조성윤, 강정우, 박정원, 유현석, 최호승, 김지훈",서울,대학로 아트원씨어터 1관,2022.02.23 ~ 2022.05.15,판매중단독판매
8,뮤지컬 〈빌리 엘리어트〉,뮤지컬,175분(인터미션:20분),8세이상 관람가능,"김시훈, 이우진, 전강혁, 주현준, 조정근, 최명경, 최정원, 김영주, 박정자, 홍윤희, 강현중, 나다움, 성주환, 임동빈, 김시영, 오세준, 김명희, 이선태, 김명윤, 서만석",서울,대성 디큐브아트센터,2021.08.31 ~ 2022.02.02,판매중단독판매TOPING 할인
9,뮤지컬 지킬앤하이드 (Jekyll＆Hyde),뮤지컬,170분(인터미션:20분),14세 이상 관람가,"류정한, 홍광호, 신성록, 윤공주, 아이비, 선민, 조정은, 최수진, 민경아, 김봉환, 윤영석, 황이건, 정수민, 최원섭",서울,샤롯데씨어터,2021.10.19 ~ 2022.05.08,판매중
10,뮤지컬 〈산타와 빈양말〉 - 국립중앙박물관 극장용,뮤지컬,70분,24개월이상 관람가능,"채지영, 정다은, 최병광, 권민수, 김시현, 김슬비, 선일, 김경은, 김성건, 최병수, 주현욱, 곽동기, 이새나",서울,국립중앙박물관 극장 용,2021.11.27 ~ 2021.12.31,판매중단독판매
11,뮤지컬〈하데스타운〉 최초 한국 공연 (MUSICAL HADESTOWN),뮤지컬,155분(인터미션:20분),미취학아동입장불가,"조형균, 박강현, 시우민, 최재림, 강홍석, 김선영, 박혜나, 김환희, 김수하, 지현준, 양준모, 김우형, 남궁혜인",서울,LG아트센터,2021.09.07 ~ 2022.02.27,판매중좌석우위TOPING 할인
12,뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산,뮤지컬,150분(인터미션:20분),8세이상 관람가능,,부산시,소향씨어터 신한카드홀,2021.12.30 ~ 2022.01.16,판매중단독판매
13,뮤지컬 〈알사탕〉 - 서울숲,뮤지컬,60분,12개월이상 관람가능,"안진영, 김유리, 최승환, 김지현, 신혜민, 문용현, 임재현, 김대운",서울,서울숲 씨어터 1관,2021.09.18 ~ 2022.02.27,판매중단독판매TOPING회원할인 32000원
14,뮤지컬 〈시카고〉 - 대구,뮤지컬,145분(인터미션:20분),14세 이상 관람가,"최정원, 윤공주, 아이비, 티파니 영, 민경아, 박건형, 최재림, 김영주, 김경선, 차정현, S.J. KIM",대구시,대구오페라하우스,2021.12.17 ~ 2021.12.26,판매중단독판매
15,뮤지컬 〈빨래〉,뮤지컬,160분(인터미션:15분),14세 이상 관람가,,서울,대학로 유니플렉스 2관,2021.11.05 ~ 2022.05.29,판매중단독판매
16,뮤지컬 〈팬레터〉,뮤지컬,145분(인터미션:15분),14세 이상 관람가,"김경수, 윤나무, 백형훈, 려욱, 문성일, 박준휘, 김진욱, 소정화, 강혜인, 허혜진, 박정표, 이형훈, 김지철, 윤석현, 임별, 이승현, 장민수, 김태인, 김보현, 송상훈",서울,코엑스아티움,2021.12.10 ~ 2022.03.20,판매중단독판매TOPING회원할인 10%
17,［쇼뮤지컬］캐리와친구들2022-군산,뮤지컬,65분,24개월이상 관람가능,,전북,군산예술의전당 대공연장,2021.12.25 ~ 2021.12.26,판매중
18,뮤지컬 〈헤드윅〉－천안,뮤지컬,135분,만 15세이상,"오만석, 고은성, 렌, 이영미, 김려원, 제이민",충남,천안예술의전당 대공연장,2022.01.08 ~ 2022.01.09,판매중단독판매
19,콩순이 뮤지컬 시즌2 〈우리들 음악회〉－서울,뮤지컬,65분,20개월이상 관람가능,,서울,이화여자대학교 삼성홀,2022.01.28 ~ 2022.02.13,판매중
20,뮤지컬 〈스노우데이〉 - KT＆G 상상마당 대치아트홀,뮤지컬,70분,24개월이상 관람가능,"전상혁, 이강, 왕시명(하성), 이자영, 송상섭, 김나희, 김유현, 정아인, 박기준, 정형석, 김종년",서울,서울 KT＆G 상상마당 대치아트홀,2021.12.04 ~ 2021.12.31,판매중단독판매
21,뮤지컬 〈시카고〉 - 김해,뮤지컬,145분(인터미션:20분),14세 이상 관람가,"최정원, 윤공주, 아이비, 티파니 영, 민경아, 박건형, 최재림, 김영주, 김경선, 차정현, S.J. KIM",경남,김해문화의전당 마루홀,2022.01.08 ~ 2022.01.09,판매중
22,(2021 용인) 뮤지컬 루돌프와 산타클로스,뮤지컬,60분,24개월이상 관람가능,,경기,용인시 평생학습관 큰어울마당,2021.12.25 ~ 2021.12.26,판매중단독판매
23,뮤지컬 〈알사탕〉 - 인천,뮤지컬,60분,24개월이상 관람가능,,인천시,인천문화예술회관 소공연장,2021.12.22 ~ 2021.12.26,판매중
24,뮤지컬〈헤드윅〉 - 성남,뮤지컬,135분,만 15세이상,"오만석, 고은성, 렌, 이영미, 김려원, 제이민",경기,성남아트센터 오페라하우스,2022.01.22 ~ 2022.01.23,판매중
25,뮤지컬 〈곤 투모로우〉,뮤지컬,150분(인터미션:20분),8세이상 관람가능,"강필석, 최재웅, 송원근, 노윤, 김재범, 신성민, 이해준, 윤소호, 고영빈, 박영수, 김준수, 김태한, 신재희, 한동훈",서울,홍익대 대학로 아트센터 대극장,2021.12.04 ~ 2022.02.27,판매중단독판매TOPING 할인
26,뮤지컬 〈장수탕 선녀님〉 - 울산,뮤지컬,60분,12개월이상 관람가능,,울산시,울산문화예술회관 대공연장,2022.01.08 ~ 2022.01.09,판매중
27,뮤지컬 〈엑스칼리버〉 - 대전,뮤지컬,160분(인터미션:20분),8세이상 관람가능,"김준수, 카이, 서은광, 이지훈, 강태을, 신영숙, 장은아, 민영기, 손준호, 최서연, 이봄소리, 이상준, 이종문, 홍경수",대전시,대전예술의전당 아트홀,2021.11.27 ~ 2021.11.28,판매종료좌석우위
28,가족뮤지컬 〈고고다이노 공룡대탐험〉 - 대구,뮤지컬,65분,12개월이상 관람가능,,대구시,대구보건대 인당아트홀,2021.12.18 ~ 2021.12.19,판매중
29,2021 가족뮤지컬 〈호두까기인형〉 - 용인,뮤지컬,55분,전체관람가,,경기,용인시문예회관 처인홀,2021.12.04 ~ 2021.12.04,판매중
30,뮤지컬 〈장수탕 선녀님〉 - 부산,뮤지컬,60분,12개월이상 관람가능,,부산시,부산 MBC 드림홀,2021.12.18 ~ 2021.12.26,판매중
31,시크릿쥬쥬 별의여신 뮤지컬 시즌2 - 수원앵콜,뮤지컬,65분,24개월이상 관람가능,,경기,수원SK아트리움 대공연장,2022.01.08 ~ 2022.01.09,판매중
32,뮤지컬 〈빨래〉－대전,뮤지컬,160분(인터미션:15분),14세 이상 관람가,"장혜민, 이진혁, 강정임, 김지혜, 장격수, 정평, 박정민, 김유정",대전시,대전 평송청소년문화센터 대극장,2021.12.24 ~ 2021.12.26,판매중
33,뮤지컬 〈시카고〉 - 성남,뮤지컬,145분(인터미션:20분),14세 이상 관람가,"최정원, 윤공주, 아이비, 티파니 영, 민경아, 박건형, 최재림, 김영주, 김경선, 차정현, S.J. KIM",경기,성남아트센터 오페라하우스,2021.12.03 ~ 2021.12.05,판매중
34,창작뮤지컬 〈메이사의 노래〉 - 부산,뮤지컬,160분(인터미션:15분),8세이상 관람가능,"김명수, 박찬열, 정대현, 문시온, 브래드 리틀, 마이클 리, 오진영, 홍미금, 김리안",부산시,부산시민회관 대극장,2021.12.24 ~ 2021.12.25,판매중
35,가족뮤지컬 ‘ 엄마까투리 ’,뮤지컬,65분,전체관람가,,서울,코엑스 컨퍼런스룸 401호,2021.12.25 ~ 2022.01.30,판매중단독판매
